lake,year_ice_off,value,metric
INARI - NELLIM,1950,1.365739479,ID
INARI - NELLIM,1951,1.013855568,ID
INARI - NELLIM,1952,1.771759377,ID
INARI - NELLIM,1953,1.79882737,ID
INARI - NELLIM,1954,1.230399514,ID
INARI - NELLIM,1955,2.096575295,ID
INARI - NELLIM,1956,1.961235329,ID
INARI - NELLIM,1957,1.88003135,ID
INARI - NELLIM,1958,1.528147439,ID
INARI - NELLIM,1959,1.365739479,ID
INARI - NELLIM,1960,0.743175636,ID
INARI - NELLIM,1961,2.39432322,ID
INARI - NELLIM,1962,1.338671486,ID
INARI - NELLIM,1963,1.122127541,ID
INARI - NELLIM,1964,1.528147439,ID
INARI - NELLIM,1965,1.717623391,ID
INARI - NELLIM,1966,1.771759377,ID
INARI - NELLIM,1967,2.150711282,ID
INARI - NELLIM,1968,1.392807473,ID
INARI - NELLIM,1969,2.231915261,ID
INARI - NELLIM,1970,1.79882737,ID
INARI - NELLIM,1971,2.069507302,ID
INARI - NELLIM,1972,1.771759377,ID
INARI - NELLIM,1973,1.907099343,ID
INARI - NELLIM,1974,2.258983254,ID
INARI - NELLIM,1975,1.582283425,ID
INARI - NELLIM,1976,1.555215432,ID
INARI - NELLIM,1977,2.448459207,ID
INARI - NELLIM,1978,2.231915261,ID
INARI - NELLIM,1979,1.663487404,ID
INARI - NELLIM,1980,2.231915261,ID
INARI - NELLIM,1981,1.988303323,ID
INARI - NELLIM,1982,1.663487404,ID
INARI - NELLIM,1983,1.825895363,ID
INARI - NELLIM,1984,1.690555398,ID
INARI - NELLIM,1985,2.231915261,ID
INARI - NELLIM,1986,1.79882737,ID
INARI - NELLIM,1987,1.636419411,ID
INARI - NELLIM,1988,1.717623391,ID
INARI - NELLIM,1989,1.419875466,ID
INARI - NELLIM,1990,0.661971657,ID
INARI - NELLIM,1991,1.446943459,ID
INARI - NELLIM,1992,1.690555398,ID
INARI - NELLIM,1993,2.150711282,ID
INARI - NELLIM,1994,2.231915261,ID
INARI - NELLIM,1995,1.744691384,ID
INARI - NELLIM,1996,2.177779275,ID
INARI - NELLIM,1997,1.79882737,ID
INARI - NELLIM,1998,1.961235329,ID
INARI - NELLIM,1999,1.934167336,ID
INARI - NELLIM,2000,1.555215432,ID
ORSASJON,1950,-0.42074807,ID
ORSASJON,1951,0.283019752,ID
ORSASJON,1952,-0.935039941,ID
ORSASJON,1953,-0.068864159,ID
ORSASJON,1954,-0.664360009,ID
ORSASJON,1955,-0.258340111,ID
ORSASJON,1956,0.255951759,ID
ORSASJON,1957,0.526631691,ID
ORSASJON,1958,0.0935438,ID
ORSASJON,1959,-0.529020043,ID
ORSASJON,1960,0.0935438,ID
ORSASJON,1961,-0.447816064,ID
ORSASJON,1962,0.120611793,ID
ORSASJON,1963,0.201815773,ID
ORSASJON,1964,-0.231272118,ID
ORSASJON,1965,-0.339544091,ID
