lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,precip_trend,ID slope,ID slope p,obs,ID_var
ASK01,LAKE MJOSA - KISA-KAPP,60.7709675,1.783696151,11.0239687,150.8077459,2.178423649,121,2.08278537,365,2.562292864,153,2.184691431,0.0135,-0.29435,0.186046512,0.386401024,63,795.7086534
BIR1,LAKE BALATON,46.88183838,1.671004633,17.83831935,157.6220966,2.1976171,104,2.017033339,596,2.77524626,3,0.477121255,0.030119047,-0.108223065,-0.436507937,0.465314088,32,797.4344758
DD01,SAND LAKE,45.92,1.662001879,-92.18,47.6037772,1.677641414,304,2.482873584,3.755,0.574609941,6.4,0.806179974,0.043382352,0.233148333,-0.4,0.178177031,26,303.6246154
DML1,LEJ DA SAN MUREZZAN,46.49367459,1.667393872,9.846736107,149.6305133,2.175020166,1768,3.247482261,0.78,-0.107905397,25,1.397940009,0.028117559,-0.164779286,-0.408333333,0.431998015,17,118.8897059
DML3,LEJ DA SEGL,46.42035333,1.666708442,9.738537012,149.5223142,2.17470601,1797,3.254548077,4.1,0.612783857,33.5,1.525044807,0.008232323,-0.288823529,-0.111111111,0.419205179,43,132.7763012
DMR1,LAKE MENDOTA,43.12837789,1.634763124,-89.42022411,50.36355309,1.702116361,259.1,2.413467413,39.377,1.595242626,12.8,1.10720997,0.012013219,-0.012213944,-0.108893281,0.01182001,113,300.9578066
DMR2,LAKE MONONA,43.06709696,1.634145598,-89.36644349,50.41733371,1.702579875,257.5,2.410777233,13.24,1.121887985,8.2,0.913813852,0.007145571,0.057828235,-0.183941998,2.94E-05,113,280.5041087
EC01,BASS-PATTERSON LAKE,45.9448744,1.662237069,-91.62915952,48.15461768,1.682637939,348,2.541579244,0.761,-0.118615343,4.7,0.672097858,0.023888888,0.5355575,-0.636363636,0.246057248,19,241.1754386
EK10,LAKE VATIANJARVI (1423),62.46666667,1.795648332,25.88333333,165.6671105,2.219236298,89,1.949390007,6,0.77815125,4,0.602059991,0.001856725,0.135628361,-0.217391304,0.031062442,83,356.9136056
EK11,LAKE KOIVUJARVI (1425),63.46666667,1.802545689,26.25,166.0337772,2.220196448,130,2.113943352,26,1.414973348,7,0.84509804,0.018525641,0.090512692,-0.05,0.80297452,42,178.8199768
EK13,LAKE NILAKKA (1429),63.13333333,1.80025872,26.55,166.3337772,2.22098045,102,2.008600172,163,2.212187604,6,0.77815125,-0.000848485,0.048451712,-0.2,0.285577708,48,262.7021277
EK17,LAKE PETAJAVESI (1450),62.23333333,1.794023063,25.2,164.9837772,2.217441242,111,2.045322979,12,1.079181246,5,0.698970004,0.008245614,0.1,0.1875,0.384030735,50,351.7065306
EK18,LAKE SALOSJARVI (1451),62.11666667,1.793208142,25.2,164.9837772,2.217441242,102,2.008600172,8,0.903089987,4.46,0.649334859,0.00871875,0.159469375,0.057189542,0.693902266,41,223.847561
EK25,LAKE OULUJARVI (5932),64.33333333,1.808436054,27.33333333,167.1171105,2.223020918,123,2.089905111,928,2.967547976,8,0.903089987,0.039010416,0.030116842,0.333333333,0.385561317,31,225.5892473
EK27,LAKE KIVIJARVI (1408),63,1.799340549,25.16666667,164.9504439,2.217353489,118,2.071882007,154.026,2.187594037,8.36,0.922206277,0.002154558,-0.23,-0.660714286,0.535955526,17,295.9044118
EK3,LAKE KOLIMA (1405),63.2783635,1.801255239,25.75716897,165.5409462,2.218905433,111,2.045322979,105,2.021189299,9,0.954242509,0.018840579,0.115858636,-0.15625,0.42220858,42,172.7433217
EK9,LAKE KIIMASJARVI (1421),62.62761325,1.796765861,25.49830156,165.2820788,2.218225766,107,2.029383778,4,0.602059991,9.1,0.959041392,-0.022777777,-0.9111125,-1,0.591505037,10,113.6
GW202,RUNN,60.53042075,1.781973693,15.65327723,155.4370544,2.191554558,106.8,2.028571253,64.7024,1.81092039,8.3,0.919078092,0.011993589,0.157475392,-0.201851852,0.027009157,81,411.7919753
GW240,ORSASJON,61.07247475,1.785845519,14.54801963,154.3317968,2.188455413,159.9,2.203848464,52.827,1.722855948,17.3,1.238046103,0.01490196,0.060877105,-0.214285714,0.143389412,58,303.8139746
GW341,NACKTEN,62.82382675,1.798124387,14.63117254,154.4149497,2.188689344,323.95,2.510477984,84.2389,1.925512687,15.5,1.190331698,0.011121795,0.063587917,-0.14,0.039298427,90,269.7988764
GW369,KALLSJON,63.56777875,1.803237036,12.97718981,152.760967,2.184012399,380.525,2.580383195,156.3551,2.194112052,40.1,1.603144373,0.008958333,0.056485306,-0.205128205,0.008116469,94,522.9659117
GW484,STORUMAN,65.2615295,1.814657248,16.70974942,156.4935266,2.194496378,350.125,2.544223122,163.47221,2.213443934,25.6,1.408239965,0.007826087,0.13193,0.305555556,0.042091951,51,205.4666667
GW512,GOUTA,65.61206525,1.816983708,15.5179385,155.3017157,2.191176254,438.63333,2.642101629,31.5935,1.499597741,17.2,1.235528447,0.006001871,0.086207974,-0.213525836,0.000662536,88,207.9162748
GW592,JUKKASJARVI,67.82508,1.831390315,20.70512184,160.488899,2.205444998,322.35,2.508327675,13.50505,1.130496196,9.6,0.982271233,0.010983245,0.146031227,-0.181186869,2.54E-05,105,163.924359
HB01,MIRROR LAKE,43.9436421,1.642896049,-71.69299041,68.09078679,1.833088352,213,2.328379603,0.15,-0.823908741,4.8,0.681241237,0.046284721,0.0719445,-0.481481481,0.009174707,38,141.1237553
JD01,LAKE KEGONSA,42.96564792,1.633121365,-89.25144033,50.53233687,1.703569383,256.95,2.409848622,12.99,1.113609151,5.18,0.71432976,0.02175,0.014245128,-0.5,0.002844124,51,298.9937255
JGL01,SPIRIT LAKE,43.47709337,1.638260502,-95.10176239,44.68201481,1.650132748,427,2.630427875,4.31,0.63447727,2.3,0.361727836,0.017393729,0.318692306,-0.355042017,0.024522708,53,278.2177068
JGL02,EAST OKOBOJI LAKE,43.39,1.63738965,-95.1,44.6837772,1.650149878,426,2.629409599,7.46,0.872738827,3,0.477121255,0.00164665,0.021202183,0.06155303,0.348202428,92,244.2535834
JGL03,WEST OKOBOJI LAKE,43.39,1.63738965,-95.16,44.6237772,1.649566329,426,2.629409599,15.65,1.194514342,11.5824,1.063798559,0.001076923,0.032028986,-0.022988506,0.643305232,91,219.7264957
JJM1,ALLEQUASH LAKE,46.03668734,1.663104066,-89.62049582,50.16328138,1.700385938,494.2,2.693902741,1.684,0.226342087,2.9,0.462397998,0.022159722,-0.300804119,-0.569230769,0.049560173,32,279.03125
JJM10,NORTH TWIN LAKE,46.04679463,1.663199404,-89.1415281,50.6422491,1.704512985,512.67,2.709837904,11.26,1.051538391,8.53,0.930949031,0.091999998,-1.501874375,-0.65,0.680041838,12,323.719697
JJM11,(BIG) LONG LAKE,45.75,1.660391098,-91.65,48.1337772,1.682449943,373,2.571708832,13.32,1.124504225,7.92,0.898725182,0.028981481,-0.055555,-0.285714286,0.515680316,22,87.61038961
JJM14,LAKE SHISHEBOGAMA,45.89739739,1.66178806,-89.81884176,49.96493544,1.698665331,479.7,2.680969718,2.9,0.462397998,5.18,0.71432976,0.019736842,0.272222143,-0.125,0.528781304,39,192.879892
JJM15,LAKE ESCANABA,46.06422356,1.663363755,-89.5865184,50.1972588,1.700680002,502.92,2.701498907,1.17,0.068185862,4.27,0.630427875,0.010015217,0.217742885,-0.047727273,0.813658488,37,145.7252252
JJM17,LAKE NEBISH,46.05142896,1.663243111,-89.58883589,50.19494131,1.700659951,502.92,2.701498907,0.37,-0.431798276,5.49,0.739572344,0.007916667,0.294445,0.333333333,0.369022414,27,173.5669516
