lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,log_CONT,LONG_raw,long_log_cont,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,AT_standardized,log_AT,precip_trend,PPT_standard,log_PPT,ID_slope,posneg,ID slope p,obs,TS_cat,CONT
WRS353,PICNIC LAKE,48.60990537,1.686724776,-85.26819437,54.51558283,1.73652066,0.34478403,4.910151749,0.402756519,368,2.565847819,2.11,0.324282455,5.1,0.707570176,0.049107142,0.199107142,-0.700913161,-1.423412232,0.576587768,-0.239134575,-2.55,Negative,0.149860748,12,0,WEST
WRS253,GREAT BEAR LAKE,65.91122797,1.818959403,-120.3774395,19.4063377,1.287943584,-1.469024911,-30.19909338,-1.716028898,145,2.161368002,30450.64,4.483596425,72.2,1.858537198,-0.108906248,0.041093752,-1.386224204,0.955000167,2.955000167,0.47055751,-2.5,Negative,0.023642219,12,0,WEST
WRS221,CHURCHILL LAKE,55.97592039,1.748001243,-108.3329938,31.4507834,1.497631468,-0.621157779,-18.15464768,-0.725600152,415,2.618048097,543.87,2.735495104,7.5,0.875061263,0.049047618,0.199047618,-0.701043015,-0.71,1.29,0.11058971,-2,Negative,0.06170669,11,0,WEST
WRS247,GLENMORE RESERVOIR   ELBOW RIVER,50.98792659,1.707467352,-114.1101455,25.6736317,1.409487307,-0.977566245,-23.93179938,-1.141935656,1072,3.030194785,3.15,0.498310554,6.2,0.792391689,0.100173609,0.250173609,-0.601758506,-0.131926833,1.868073167,0.271393882,-1.928571429,Negative,0.24638736,13,0,WEST
VSV2,LAKE IMANDRA,67.72290175,1.830735558,33.11725251,172.9010297,2.23779758,-0.063870475,-3.51160277,-0.063870475,127,2.103803721,876,2.942504106,13,1.113943352,-0.121071426,0.028928574,-1.538672974,-0.42861,1.57139,0.196283985,-1.8,Negative,0.2104977,10,0,EAST
MINN40,KABEKONA,47.16659261,1.673634503,-94.76893341,45.01484379,1.653355747,0.008509015,-4.590587291,0.009939734,392,2.593286067,9.1,0.959041392,9.2,0.963787827,0.001527778,0.151527778,-0.819507745,-1.17333,0.82667,-0.082667823,-1.777777778,Negative,0.187559609,14,0,WEST
WRS276,LAC CACHE,49.76666667,1.696938553,-74.53333333,65.25044387,1.81458347,0.660428833,15.64501279,0.771474298,379,2.57863921,3,0.477121255,8,0.903089987,0.034999999,0.184999999,-0.732828274,0.0097225,2.0097225,0.303136095,-1.6,Negative,0.009791512,18,0,WEST
MICH05,EAGLE LAKE,41.80390028,1.621216803,-86.02446998,53.75930722,1.730453663,0.320252296,4.153876139,0.374099984,242,2.383815366,1.618,0.208978517,3.5,0.544068044,0.05460648,0.20460648,-0.689080616,0.059066736,2.059066736,0.313670423,-1.522727273,Negative,0.026957455,24,0,WEST
WRS216,BURNS LAKE,54.20496152,1.73403904,-125.7297347,14.0540425,1.147801263,-2.035686492,-35.55138858,-2.377969782,697,2.843232778,12.55,1.098643726,16.2,1.209515015,0.074430554,0.224430554,-0.648918018,-0.025965595,1.974034405,0.295354718,-1.5,Negative,0.087000494,13,0,WEST
LR1,ONEIDA,43.21011271,1.635585399,-75.90521318,63.87856402,1.805355145,0.623114357,14.27313294,0.727885712,112,2.049218023,206.7,2.315340477,6.8,0.832508913,0.040902777,0.190902777,-0.719187754,0.34686125,2.34686125,0.370487414,-1.286363636,Negative,0.049461458,21,0,WEST
JJM31,ANVIL LAKE,45.9442104,1.662230792,-89.06448243,50.71929477,1.705173206,0.218031471,1.113863689,0.2546916,516.6,2.713154402,1.6,0.204119983,5.79,0.762678564,0.080486109,0.230486109,-0.637355244,0.3190275,2.3190275,0.365305899,-1.25,Negative,0.377718107,14,0,WEST
WRS279,LAC DES SABLES,46.04286361,1.663162326,-74.30211621,65.48166099,1.816119687,0.666640484,15.87622991,0.778730385,375,2.574031268,2.85,0.45484486,9.8,0.991226076,-0.026057504,0.123942496,-0.906779762,-1.773150275,0.226849725,-0.644261743,-1.151515152,Negative,0.001884177,25,0,WEST
WRS350,ONE EYE LAKE,51.96925686,1.715746507,-124.9019824,14.8817948,1.172655312,-1.935189836,-34.72363628,-2.260575471,901,2.954724791,4.81,0.682145076,10.2,1.008600172,0.064777776,0.214777776,-0.668010659,-0.07680625,1.92319375,0.284023039,-1.145833333,Negative,0.448528752,12,0,WEST
RB39,PYHAVESI E,61.40828075,1.788226939,26.92726149,166.7110387,2.221964357,-0.321338395,-9.70159379,-0.321338395,82,1.913813852,15,1.176091259,8.7,0.939519253,-0.004626736,0.145373264,-0.837515458,0.118703813,2.118703813,0.326070248,-1.125,Negative,0.002734666,37,36-45,EAST
WRS294,LAKE KATHLYN,54.82393123,1.738970174,-127.2051839,12.5785933,1.099632075,-2.230457265,-37.02683778,-2.605489596,498,2.697229343,1.31,0.117271296,4.5,0.653212514,0.017555555,0.167555555,-0.775841169,0.125714286,2.125714286,0.327504891,-1.090909091,Negative,0.102625215,18,0,WEST
RA1,LAKE MUEGGELSEE,52.43696615,1.719637557,13.65000026,153.4337775,2.185920977,-0.90744863,-22.97885502,-0.90744863,32.37,1.510142699,7.3,0.86332286,4.9,0.69019608,0.016770833,0.166770833,-0.777879902,0.432555286,2.432555286,0.386062719,-1.083333333,Negative,0.59167167,17,0,EAST
